"","iso_code","location","date","total_cases","new_cases","total_deaths","new_deaths","total_tests","new_tests","positive_rate","tests_per_case","total_vaccinations","new_vaccinations","people_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated","people_fully_vaccinated_per_hundred"
"1","CHL","Chile",2020-02-23,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CHL","Chile",2020-02-24,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CHL","Chile",2020-02-25,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CHL","Chile",2020-02-26,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CHL","Chile",2020-02-27,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CHL","Chile",2020-02-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CHL","Chile",2020-02-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CHL","Chile",2020-03-01,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CHL","Chile",2020-03-02,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CHL","Chile",2020-03-03,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","CHL","Chile",2020-03-04,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CHL","Chile",2020-03-05,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CHL","Chile",2020-03-06,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CHL","Chile",2020-03-07,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CHL","Chile",2020-03-08,20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CHL","Chile",2020-03-09,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CHL","Chile",2020-03-10,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CHL","Chile",2020-03-11,35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
